,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
0,1,-21.123754082319746,22.745937197677808,-18.5553446961058,22.32674505455296,-2.5684093862139514,2.076602751854222,-1.4844275756884635,1.7861396043642368,-5.136818772427903,4.153205503708444,1.4844275756884635,1.7861396043642368,926.3836781427394,591.4715936673629,8426385.936386358,86.31266490765171,9096.0,8760.333333333334,0.0,1.0
1,2,-19.15625785425739,20.494783711234348,-16.473903955483365,20.377869420283037,-2.6823538987740263,1.9417895192352472,-1.3179123164386692,1.630229553622643,-5.364707797548053,3.8835790384704945,1.3179123164386692,1.630229553622643,965.0249399033456,526.6407460157827,8777866.853360832,86.3896218117854,9096.0,8760.333333333334,0.0,1.0
2,3,-18.518275446510167,19.048303094312946,-15.970235052270287,19.085478060017778,-2.548040394239881,1.9568240421290464,-1.277618804181623,1.5268382448014224,-5.096080788479762,3.9136480842580927,1.277618804181623,1.5268382448014224,909.916247219183,532.4859620266493,8276598.184705689,84.46569920844327,9096.0,8760.333333333334,0.0,1.0
3,4,-21.40574379471148,34.79788515235935,-18.938196237444238,34.892476746691095,-2.4675475572672414,1.9090631859504097,-1.5150556989955388,2.791398139735288,-4.935095114534483,3.8181263719008194,1.5150556989955388,2.791398139735288,871.6951162264725,496.63629218803334,7928938.777195994,86.7084432717678,9096.0,8760.333333333334,0.0,1.0
4,5,-16.221822869524253,17.313584305161772,-13.736789570194757,17.244922279167127,-2.4850332993294963,1.9437578576993246,-1.0989431656155806,1.3795937823333704,-4.970066598658993,3.8875157153986493,1.0989431656155806,1.3795937823333704,883.9913037346217,521.1949233772892,8040784.898770119,83.22339489885664,9096.0,8760.333333333334,0.0,1.0
5,6,-16.02557959505121,16.856976825899935,-13.67777808795394,16.585595436523096,-2.347801507097269,1.9696472987431228,-1.0942222470363152,1.3268476349218479,-4.695603014194538,3.9392945974862457,1.0942222470363152,1.3268476349218479,838.8118390520387,558.1339045595179,7629832.488017345,85.57607739665787,9096.0,8760.333333333334,0.0,1.0
6,7,-15.870041865930595,17.74826244076322,-13.586443904710316,17.454010870325092,-2.283597961220278,2.026106430369695,-1.0869155123768253,1.3963208696260072,-4.567195922440556,4.05221286073939,1.0869155123768253,1.3963208696260072,810.4204823756348,572.1688758968392,7371584.707688774,85.10334212840809,9096.0,8760.333333333334,0.0,1.0
7,8,-14.906953249116166,16.783590594289752,-12.585838313864553,16.50256090835515,-2.321114935251611,2.055696957631059,-1.0068670651091642,1.320204872668412,-4.642229870503222,4.111393915262118,1.0068670651091642,1.320204872668412,824.6394432001928,578.3776528134341,7500920.3753489535,84.674582233949,9096.0,8760.333333333334,0.0,1.0
8,9,-15.092062292364172,17.4481210713477,-12.785834044396635,17.131132364467035,-2.3062282479675376,2.088896535061837,-1.0228667235517306,1.3704905891573629,-4.612456495935075,4.177793070123674,1.0228667235517306,1.3704905891573629,817.2055859235883,586.6982794382153,7433302.009560959,84.03693931398418,9096.0,8760.333333333334,0.0,1.0
9,10,-14.627816398237115,17.011399433387055,-12.281127870322948,16.75494824355394,-2.3466885279141683,2.105866931969692,-0.9824902296258359,1.3403958594843153,-4.6933770558283365,4.211733863939384,0.9824902296258359,1.3403958594843153,830.3978036143807,587.5012131187303,7553298.421676407,84.15787159190853,9096.0,8760.333333333334,0.0,1.0
