electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
1.0,-0.6212654709815979,1.0,0.6124273538589478,0.5421041250228882
-0.2396610677242279,-1.0,0.005398452281951904,-1.0,-1.0
-0.43716877698898315,-1.0,1.0,-1.0,-1.0
-0.3306232988834381,-1.0,0.829573392868042,-1.0,-1.0
-0.10027971863746643,-0.5426265001296997,-0.3169635832309723,-0.9309988021850586,-1.0
1.0,0.23898807168006897,0.05166172981262207,-1.0,-1.0
0.3997722268104553,-0.9220620393753052,0.07253919541835785,-0.8895890116691589,-1.0
-0.9665584564208984,-0.30724701285362244,0.17212165892124176,-0.6457989811897278,-0.9426074028015137
-0.5089835524559021,-0.23606163263320923,0.009201198816299438,-1.0,-1.0
0.8126167058944702,-0.1177641749382019,-0.9088661670684814,-0.508291482925415,-1.0
0.3319798409938812,0.4950138330459595,-0.9085723161697388,-1.0,-1.0
0.4132798910140991,1.0,-1.0,-1.0,-1.0
0.9324625730514526,1.0,-1.0,-0.8778488636016846,-1.0
0.5521459579467773,1.0,-0.4147798418998718,-1.0,-0.4844127297401428
-0.13138580322265625,1.0,-0.03367060422897339,-0.99808269739151,-1.0
0.030167609453201294,0.783200204372406,-0.6033469438552856,-0.5947516560554504,-1.0
-1.0,1.0,-0.4591602087020874,-1.0,-0.8804216384887695
0.6278136968612671,-0.9687638878822327,-0.6435384154319763,-0.5601885318756104,-1.0
1.0,1.0,-0.5653629302978516,-0.3707784414291382,-0.15407463908195496
-0.3818458318710327,0.9563018083572388,1.0,-0.7877756357192993,0.5299183130264282
0.47008198499679565,1.0,-0.814665675163269,-0.8155990839004517,1.0
0.07850146293640137,1.0,0.21083340048789978,0.4092352092266083,0.5332418084144592
0.339596688747406,1.0,1.0,-0.23038771748542786,-0.8306753039360046
-1.0,0.313218891620636,-0.15251106023788452,-0.061679936945438385,-0.7236931324005127
-1.0,0.9144914150238037,1.0,1.0,1.0
-0.7829649448394775,0.5031514763832092,1.0,1.0,1.0
-0.7445918321609497,1.0,1.0,1.0,1.0
-1.0,-0.641212522983551,1.0,1.0,1.0
-0.2700122594833374,0.49688202142715454,0.60731041431427,1.0,1.0
-0.781460165977478,-1.0,1.0,0.5512720942497253,1.0
0.2975026071071625,-1.0,1.0,1.0,1.0
-1.0,-0.7701407670974731,1.0,1.0,1.0
-0.9197812080383301,-1.0,1.0,1.0,1.0
-0.40552815794944763,-1.0,1.0,1.0,1.0
0.9655307531356812,-1.0,1.0,1.0,1.0
-1.0,-1.0,0.3727813959121704,1.0,1.0
-0.7205449342727661,-1.0,1.0,1.0,1.0
0.04768410325050354,-1.0,1.0,1.0,1.0
0.40228545665740967,-0.8876548409461975,0.36540961265563965,1.0,1.0
-0.6465277075767517,-1.0,1.0,1.0,1.0
-0.7596640586853027,-1.0,0.9881402254104614,1.0,1.0
-0.536876916885376,-1.0,1.0,1.0,1.0
0.4715820550918579,-1.0,1.0,1.0,1.0
-1.0,-0.6845685243606567,1.0,1.0,1.0
-0.30290547013282776,-1.0,1.0,1.0,1.0
-0.42565739154815674,-1.0,0.375349760055542,1.0,1.0
0.4078931212425232,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.9425917863845825,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.2127666473388672,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.13231265544891357,-1.0,1.0,1.0,1.0
0.23617953062057495,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.047161251306533813,-1.0,1.0,1.0,1.0
-0.8928656578063965,-1.0,1.0,1.0,1.0
-0.4287923276424408,-1.0,1.0,1.0,1.0
