month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
1.0,21.0,0.0,5493.65673828125,5641.453125,3643.22900390625,3643.237060546875,23.115999221801758,69.85529327392578,24.887374877929688,24.209272384643555,25.475683212280273,25.475679397583008,100.0,65.43475341796875,60.66847610473633,60.668495178222656,1436.197021484375,5170309.5
1.0,21.0,1.0,0.0,0.0,0.0,0.0,22.743999481201172,71.44336700439453,24.791364669799805,24.10924530029297,25.356721878051758,25.356719970703125,100.0,65.82649230957031,61.09483337402344,61.09484100341797,0.0,0.0
1.0,21.0,2.0,1355.37060546875,0.0,0.0,0.0,22.46500015258789,72.66118621826172,24.619022369384766,23.882259368896484,25.072250366210938,25.082555770874023,100.0,66.72799682617188,62.134098052978516,62.09596252441406,0.0,0.0
1.0,21.0,3.0,89.61883544921875,0.0,0.0,0.0,22.18600082397461,73.90239715576172,24.26572036743164,23.598237991333008,24.474735260009766,24.615177154541016,100.0,67.87621307373047,64.38726806640625,63.84858703613281,0.0,0.0
1.0,21.0,4.0,87.5637435913086,0.0,0.0,0.0,22.0,74.74317932128906,23.878917694091797,23.282621383666992,23.875408172607422,24.138385772705078,100.0,69.17864990234375,66.74063110351562,65.69464874267578,0.0,0.0
1.0,21.0,5.0,0.0,0.0,0.0,0.0,22.18600082397461,73.90239715576172,23.694726943969727,22.976381301879883,23.407922744750977,23.720020294189453,100.0,70.46952056884766,68.64354705810547,67.36439514160156,0.0,0.0
1.0,21.0,6.0,0.0,0.0,89.94001770019531,0.0,22.836999893188477,71.04257202148438,23.502227783203125,22.66514015197754,23.0211124420166,23.33860969543457,100.0,71.80988311767578,70.26502990722656,68.9293441772461,0.0,0.0
1.0,21.0,7.0,0.0,0.0,157.17788696289062,0.0,24.417999267578125,64.60233306884766,23.345951080322266,22.47685432434082,22.882919311523438,23.112812042236328,100.0,72.63509368896484,70.85546875,69.87626647949219,0.0,0.0
1.0,21.0,8.0,0.0,0.0,150.66656494140625,0.0,26.184999465942383,58.17129135131836,23.21749496459961,22.340530395507812,22.789342880249023,22.92511749267578,100.0,73.23975372314453,71.26029205322266,70.6763916015625,0.0,0.0
1.0,21.0,9.0,0.0,0.0,140.49630737304688,0.0,27.766000747680664,53.02472686767578,23.13114356994629,22.264175415039062,22.71541976928711,22.79093360900879,100.0,73.58200073242188,71.58440399169922,71.25731658935547,0.0,0.0
1.0,21.0,10.0,0.0,0.0,130.5150909423828,0.0,29.160999298095703,48.90790557861328,23.079484939575195,22.226858139038086,22.666606903076172,22.701583862304688,100.0,73.75141906738281,71.80223846435547,71.65000915527344,0.0,0.0
1.0,21.0,11.0,0.0,0.0,121.62830352783203,0.0,30.090999603271484,46.36429214477539,23.049856185913086,22.209997177124023,22.63666343688965,22.642099380493164,100.0,73.82986450195312,71.93921661376953,71.91548156738281,0.0,0.0
1.0,21.0,12.0,0.0,0.0,114.0204849243164,0.0,30.834999084472656,44.436912536621094,23.036666870117188,22.20680046081543,22.621747970581055,22.605443954467773,100.0,73.84730529785156,72.01104736328125,72.08236694335938,0.0,0.0
1.0,21.0,13.0,0.0,0.0,107.64234924316406,0.0,31.299999237060547,43.27839279174805,23.033037185668945,22.209665298461914,22.614791870117188,22.582677841186523,100.0,73.83767700195312,72.04801940917969,72.18863677978516,0.0,0.0
