electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.3210439383983612,0.22745297849178314,-0.531866729259491,-0.4005274772644043,-0.9032715559005737
0.1966288685798645,-0.5842986702919006,-0.19960403442382812,-1.0,-1.0
0.10200944542884827,-0.4689180552959442,-0.15255200862884521,-1.0,-1.0
-0.018106937408447266,-0.4811863601207733,-0.10453447699546814,-1.0,-1.0
-0.17099957168102264,-0.39843443036079407,-0.014783933758735657,-1.0,-1.0
-0.3280590772628784,-0.24660398066043854,0.08134502172470093,-0.9131625294685364,-1.0
-0.3854638338088989,-0.06930899620056152,0.26119476556777954,-0.8327744603157043,-1.0
-0.46183136105537415,0.18355125188827515,0.2608436346054077,-0.8410943150520325,-1.0
-0.5341360569000244,0.4170547127723694,0.22163552045822144,-0.8629056811332703,-1.0
-0.5770570039749146,0.5821791887283325,0.18450692296028137,-0.8829547762870789,-1.0
-0.5978124141693115,0.693991482257843,0.1491861194372177,-0.9022939801216125,-1.0
-0.6072074770927429,0.7483978271484375,0.11855950951576233,-0.9094668030738831,-1.0
-0.6086651086807251,0.7772118449211121,0.08901707828044891,-0.9142522215843201,-1.0
-0.6060065627098083,0.7808690071105957,0.06341299414634705,-0.9117081761360168,-1.0
-0.604356586933136,0.7549470663070679,0.04683275520801544,-0.8922426104545593,-0.9910156726837158
-0.607623279094696,0.6979480385780334,0.044090449810028076,-0.8478068113327026,-0.9057962894439697
-0.6106539964675903,0.6396881937980652,0.04680083692073822,-0.7851440906524658,-0.7929278612136841
-0.5515959858894348,0.6940113306045532,-0.015955328941345215,-0.6421613693237305,-0.5925772190093994
-0.6743873953819275,0.44480934739112854,0.06362186372280121,-0.6012244820594788,-0.507003664970398
-0.4099302291870117,0.8013771772384644,-0.2097644805908203,-0.2141457349061966,0.009037584066390991
-0.8291944265365601,0.2983018457889557,-0.12059330940246582,-0.418783962726593,-0.37162381410598755
-0.895999550819397,0.221456378698349,-0.20523196458816528,-0.3243677616119385,-0.29007500410079956
-0.9093309640884399,0.15024496614933014,-0.1849154233932495,-0.2213965207338333,-0.11325541138648987
-0.8840938806533813,0.0688176080584526,-0.09162288904190063,-0.10326273739337921,0.14062614738941193
-1.0,-0.39364853501319885,1.0,0.5266889929771423,1.0
-1.0,-0.2262820452451706,1.0,0.6688282489776611,1.0
-1.0,-0.4346281886100769,1.0,0.811636745929718,1.0
-1.0,-0.6476243734359741,1.0,0.8799304366111755,1.0
-1.0,-1.0,1.0,0.9864673614501953,1.0
-0.9743348360061646,-1.0,1.0,1.0,1.0
-0.6821368932723999,-1.0,1.0,1.0,1.0
-0.30393585562705994,-1.0,1.0,1.0,1.0
0.05661475658416748,-1.0,1.0,1.0,1.0
-0.27935492992401123,-1.0,1.0,1.0,1.0
