,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
0,1,-41.30439879835832,29.966341760943692,-38.18611566233516,30.237329843018635,-3.118283136023153,2.0901709246628917,-3.0548892529868135,2.4189863874414907,-6.236566272046306,4.180341849325783,3.0548892529868135,2.4189863874414907,1110.1436720181412,514.2187292874601,10097866.840677012,97.00967458223396,9096.0,8760.333333333334,0.0,1.0
1,2,-32.66867714004258,24.299971900060438,-29.39708193818343,24.87093561573327,-3.2715952018591596,2.0635283692671207,-2.3517665550546742,1.989674849258662,-6.543190403718319,4.127056738534241,2.3517665550546742,1.989674849258662,1158.819396091268,482.4236129619448,10540621.226846173,97.47141600703605,9096.0,8760.5,0.0,1.0
2,3,-27.737433175814513,23.733653563254073,-24.477586405709435,24.299596798981813,-3.2598467701050757,2.0855974391456598,-1.958206912456755,1.943967743918545,-6.5196935402101515,4.1711948782913195,1.958206912456755,1.943967743918545,1157.383825176055,494.93221271575266,10527563.273801398,91.688654353562,9096.0,8760.333333333334,0.0,1.0
3,4,-21.25847120345926,21.67174039429947,-18.047306345089865,22.234466222768855,-3.211164858369394,2.1146233438293844,-1.4437845076071887,1.7787572978215083,-6.422329716738788,4.229246687658769,1.4437845076071887,1.7787572978215083,1141.5826037070988,516.2558327584156,10383835.363319771,81.27748460861918,9096.0,8760.333333333334,0.0,1.0
4,5,-20.541927500613312,22.92779636479222,-17.42218992399954,23.35066917341602,-3.119737576613771,2.1423880190998723,-1.3937751939199632,1.8680535338732818,-6.239475153227542,4.284776038199745,1.3937751939199632,1.8680535338732818,1114.362957099238,547.8378576463255,10136245.457774669,77.9023746701847,9096.0,8760.333333333334,0.0,1.0
5,6,-19.306951744760966,21.862303587211418,-16.176064569592157,22.25181585663062,-3.1308871751688185,2.1465237174758602,-1.294085165567372,1.7801452685304497,-6.261774350337637,4.2930474349517205,1.294085165567372,1.7801452685304497,1113.7116140312976,545.9914916659014,10130320.841228683,77.3636763412489,9096.0,8760.333333333334,0.0,1.0
6,7,-19.99891151398531,22.4942618882076,-16.894456237820354,22.869265645829266,-3.1044552761649564,2.104353884505187,-1.3515564990256281,1.8295412516663412,-6.208910552329913,4.208707769010374,1.3515564990256281,1.8295412516663412,1107.6690226127082,537.1891154451355,10101941.4862279,78.7719298245614,9120.0,8760.333333333334,0.0,1.0
7,8,-19.40417366716052,22.23242755503461,-16.281358768176133,22.591543602210535,-3.1228148989843882,2.1266521850735636,-1.3025087014540908,1.8073234881768427,-6.2456297979687765,4.253304370147127,1.3025087014540908,1.8073234881768427,1109.9582524667019,535.9003181606561,10096180.26443712,77.27572559366754,9096.0,8760.333333333334,0.0,1.0
8,9,-18.11673079023187,20.241304695925606,-14.961008340129684,20.651150731946977,-3.1557224501021843,2.1604323914535812,-1.196880667210375,1.6520920585557584,-6.311444900204369,4.3208647829071625,1.196880667210375,1.6520920585557584,1111.0777791606265,532.4763728586097,10613014.946542304,76.66457286432161,9552.0,8760.333333333334,0.0,1.0
9,10,-19.10098832063469,21.573906892460222,-16.0019918969233,21.963579622468824,-3.0989964237113923,2.157120367971065,-1.2801593517538639,1.757086369797506,-6.197992847422785,4.31424073594213,1.2801593517538639,1.757086369797506,1101.3430139996483,547.6248546697412,10017816.0553408,77.94635004397537,9096.0,8760.333333333334,0.0,1.0
10,11,-18.728448246580655,20.99177578051738,-15.63506318110128,21.396484689734518,-3.0933850654793695,2.173836820961759,-1.2508050544881024,1.7117187751787615,-6.186770130958739,4.347673641923518,1.2508050544881024,1.7117187751787615,1094.6314451797625,549.9970452050013,9956767.625355119,76.41820580474933,9096.0,8760.333333333334,0.0,1.0
11,12,-19.11184873688257,20.99717520924095,-15.998388708753794,21.449512693797832,-3.1134600281287783,2.153069539504379,-1.2798710967003035,1.7159610155038265,-6.226920056257557,4.306139079008758,1.2798710967003035,1.7159610155038265,1104.2488648086453,541.9613823659992,10547785.15665218,77.62772194304858,9552.0,8760.333333333334,0.0,1.0
12,13,-18.88291248103295,21.113815915061704,-15.78523756884729,21.54659211018456,-3.0976749121856577,2.1798697553670143,-1.2628190055077833,1.723727368814765,-6.195349824371315,4.359739510734029,1.2628190055077833,1.723727368814765,1097.226532062465,552.7340548545467,9980372.53564018,74.8240985048373,9096.0,8760.333333333334,0.0,1.0
13,14,-18.878414123352233,21.184101764090773,-15.76588033004833,21.616287544284983,-3.1125337933039066,2.1676786824043117,-1.261270426403866,1.7293030035427988,-6.225067586607813,4.335357364808623,1.261270426403866,1.7293030035427988,1108.0357805421438,549.180079626755,10078693.45981134,75.40677220756376,9096.0,8760.333333333334,0.0,1.0
14,15,-18.86270170791693,21.596170821682946,-15.77631144696484,22.050134861889173,-3.086390260952087,2.188037868656741,-1.2621049157571873,1.7640107889511343,-6.172780521904174,4.376075737313482,1.2621049157571873,1.7640107889511343,1095.6427613343587,555.7457349343779,9965966.557097327,76.97889182058047,9096.0,8760.333333333334,0.0,1.0
15,16,-18.306304153859454,20.595695819066048,-15.233427824893592,21.06174974595899,-3.072876328965863,2.18390684326822,-1.2186742259914876,1.6849399796767193,-6.145752657931726,4.36781368653644,1.2186742259914876,1.6849399796767193,1091.8618827891464,558.5057951000193,9931575.685850076,74.40633245382587,9096.0,8760.333333333334,0.0,1.0
16,17,-18.978944237598984,21.71568358124897,-15.889219096338214,22.148489946197763,-3.0897251412607694,2.179642351806713,-1.2711375277070573,1.7718791956958215,-6.179450282521539,4.359284703613426,1.2711375277070573,1.7718791956958215,1098.4488210645618,557.9180202204697,9991490.476403255,76.79199648197009,9096.0,8760.333333333334,0.0,1.0
17,18,-18.636463589921924,20.78462110393725,-15.6008925617429,21.193983603262087,-3.035571028179029,2.1756195042956525,-1.2480714049394317,1.6955186882609667,-6.071142056358058,4.351239008591305,1.2480714049394317,1.6955186882609667,1081.5958288408212,565.3160724071608,9838195.65913611,75.3957783641161,9096.0,8760.333333333334,0.0,1.0
