,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
0,1,-14.16865760710385,11.358732201413488,-10.925052050608898,11.679870032024192,-3.2436055564949515,2.2747565118476167,-0.874004164048712,0.9343896025619354,-6.487211112989903,4.5495130236952335,0.874004164048712,0.9343896025619354,1144.8774354620878,557.9317375283189,10413805.15296315,75.12093227792435,9096.0,8760.5,0.0,1.0
1,2,-13.46082403258854,10.688551801711071,-10.127433827584511,11.13063688090195,-3.33339020500403,2.070203705320911,-0.8101947062067609,0.8904509504721559,-6.66678041000806,4.140407410641822,0.8101947062067609,0.8904509504721559,1196.0072446266588,490.3046279391291,10878881.89712409,74.84608619173262,9096.0,8760.5,0.0,1.0
2,3,-12.169341984688241,9.564881270793634,-8.943705185861798,10.134814961884777,-3.225636798826443,2.1392288242596633,-0.7154964148689438,0.8107851969507821,-6.451273597652886,4.278457648519327,0.7154964148689438,0.8107851969507821,1153.4396847834203,525.7846356825264,10491687.37278999,69.58003518029903,9096.0,8760.333333333334,0.0,1.0
3,4,-12.151748092500226,9.559486246089557,-8.936164767053615,10.108364613352428,-3.215583325446613,2.1534463349631863,-0.7148931813642891,0.8086691690681942,-6.431166650893226,4.3068926699263725,0.7148931813642891,0.8086691690681942,1150.7235406958796,531.9031512766002,10466981.326169722,68.93139841688655,9096.0,8760.333333333334,0.0,1.0
4,5,-11.807895044469898,9.240661725495976,-8.651136438082505,9.770097540246994,-3.1567586063873927,2.1387380428882907,-0.6920909150466004,0.7816078032197594,-6.313517212774785,4.2774760857765814,0.6920909150466004,0.7816078032197594,1134.2291175377954,535.2131325528745,10316948.053123787,68.4476693051891,9096.0,8760.333333333334,0.0,1.0
5,6,-10.977318751620624,8.62961822791619,-7.870623898073931,9.180897359628286,-3.1066948535466925,2.143185775703141,-0.6296499118459146,0.7344717887702629,-6.213389707093385,4.286371551406282,0.6296499118459146,0.7344717887702629,1112.88310359768,537.0412204029352,10122784.710324498,67.21635883905013,9096.0,8760.333333333334,0.0,1.0
6,7,-10.914691995338202,8.687029661844736,-7.842497376857923,9.25606333967499,-3.072194618480278,2.175294844183889,-0.627399790148634,0.7404850671739992,-6.144389236960556,4.350589688367778,0.627399790148634,0.7404850671739992,1095.2548387470567,545.4233295460898,9962438.013243228,67.39226033421284,9096.0,8760.333333333334,0.0,1.0
7,8,-10.794716830316025,8.644641921663853,-7.744153956659607,9.170106841163303,-3.050562873656421,2.1663975046348667,-0.6195323165327686,0.7336085472930644,-6.101125747312842,4.332795009269733,0.6195323165327686,0.7336085472930644,1088.7830001087477,545.0148610823215,10008093.336999608,67.08006962576152,9192.0,8760.333333333334,0.0,1.0
8,9,-10.736000165680721,8.739963819035678,-7.741260837203287,9.183256335859793,-2.9947393284774377,2.177762168036795,-0.6193008669762629,0.7346605068687835,-5.9894786569548755,4.35552433607359,0.6193008669762629,0.7346605068687835,1067.022355570102,550.7740543100676,9705635.346265648,65.33641160949868,9096.0,8760.333333333334,0.0,1.0
9,10,-10.683096629148178,8.700474304228612,-7.699449420691503,9.129414452357183,-2.983647208456673,2.1848956541163904,-0.6159559536553202,0.7303531561885748,-5.967294416913346,4.369791308232781,0.6159559536553202,0.7303531561885748,1061.9996555548514,554.3356423953838,9659948.866926929,65.10554089709763,9096.0,8760.333333333334,0.0,1.0
10,11,-10.396643349527796,8.354382283120612,-7.426792568382638,8.820947325926618,-2.969850781145157,2.202501256580506,-0.5941434054706111,0.7056757860741294,-5.939701562290314,4.405002513161012,0.5941434054706111,0.7056757860741294,1054.4998954431196,556.4029218203816,9591731.048950616,64.05013192612137,9096.0,8760.333333333334,0.0,1.0
11,12,-9.975038712608672,8.261705902977539,-7.067028776681739,8.642175524604022,-2.908009935926933,2.1945183427139896,-0.5653623021345391,0.6913740419683218,-5.816019871853866,4.389036685427979,0.5653623021345391,0.6913740419683218,1033.7357372262104,565.1862365889976,9874243.761984762,65.21147403685093,9552.0,8760.333333333334,0.0,1.0
12,13,-10.086747540829936,8.102997963897417,-7.196032764373734,8.51764742916543,-2.8907147764562025,2.2034792669181202,-0.5756826211498987,0.6814117943332345,-5.781429552912405,4.4069585338362405,0.5756826211498987,0.6814117943332345,1029.949440821426,570.4267725923145,9368420.11371169,65.30343007915567,9096.0,8760.333333333334,0.0,1.0
13,14,-9.846509495072322,8.046889096854065,-6.89298084528844,8.482295861286637,-2.953528649783883,2.18444862084404,-0.5514384676230752,0.678583668902931,-5.907057299567766,4.36889724168808,0.5514384676230752,0.678583668902931,1051.2146676515285,559.4647882659009,10041202.5054074,64.57286432160804,9552.0,8760.333333333334,0.0,1.0
